title,link,category,id,duration,Tags
pets14,https://www.douyin.com/video/7416767021435637007,pets,7416767021435637007,18,"cat, cute pets"
pets15,https://www.douyin.com/video/7402457068621319460,pets,7402457068621319460,10,"Mink, Healing Moment"
pets16,https://www.douyin.com/video/7341004467287919898,pets,7341004467287919898,14,"cat, chicken, funny, confusing behavior"
pets17,https://www.douyin.com/video/7351652777115847951,pets,7351652777115847951,49,Reptiles
pets18,https://www.douyin.com/video/7412921550971718953,pets,7412921550971718953,12,"parrot, beautiful pet"
pets19,https://www.douyin.com/video/7418542448793931018,pets,7418542448793931018,8,"parrot, confusing behavior"
pets20,https://www.douyin.com/video/7390255657838038299,pets,7390255657838038299,8,"cat, confusing behavior"
photography1,https://www.douyin.com/video/7332070178877918504,photography,7332070178877918504,14,"PhotoTricks, ambience"
photography2,https://www.douyin.com/video/7362490691554987303,photography,7362490691554987303,45,"PhotoTricks, PhotoPosture"
photography3,https://www.douyin.com/video/7382876646107385088,photography,7382876646107385088,49,"PhotoTricks, PhotoComposition"
photography4,https://www.douyin.com/video/7307908452167257344,photography,7307908452167257344,55,"PhoneCamera, PhotoTricks"
photography5,https://www.douyin.com/video/7408854162663935266,photography,7408854162663935266,44,"CameraGuide, CameraPosition"
photography6,https://www.douyin.com/video/7327965823455284506,photography,7327965823455284506,23,"photographer, potrait"
photography7,https://www.douyin.com/video/7276595042284801291,photography,7276595042284801291,34,"CreativePhotography, MiniatureScenes"
photography8,https://www.douyin.com/video/7194083728660958476,photography,7194083728660958476,27,"professional, EventPhotography"
photography9,https://www.douyin.com/video/7163210366246325535,photography,7163210366246325535,12,"professional, EventPhotography"
photography10,https://www.douyin.com/video/7337902011439926568,photography,7337902011439926568,42,CreativePhotography
photography11,https://www.douyin.com/video/7357289131212377363,photography,7357289131212377363,23,"CelebrityPhotoshoots, ambience"
photography12,https://www.douyin.com/video/7351026499949956402,photography,7351026499949956402,30,"CreativePhotography, PhotoTricks"
photography13,https://www.douyin.com/video/7380718205427256626,photography,7380718205427256626,21,"PhotoPosture, CouplePhotos"
photography14,https://www.douyin.com/video/7033688033991855368,photography,7033688033991855368,23,WeddingVideography
photography15,https://www.douyin.com/video/7355810022053416192,photography,7355810022053416192,30,"PhotoPosture, CouplePhotos"
